,company,name,model
19,adata,ADATA XPG SPECTRIX D50 16GB (16GBX1) DDR4 RGB 3000MHz,
20,adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ,
21,adata,Adata AX4U3200316G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200316G16A-ST60 
22,adata,ADATA AX4U3200316G16-DB30 Desktop Ram XPG GAMMIX D30 Series 32GB (16GBx2) DDR4 3200MHz Black,AX4U3200316G16-DB30 
23,adata,ADATA XPG GAMMIX D30 16GB (16GBX1) DDR4 3200MHZ RAM (AX4U3200316G16-SR30),AX4U3200316G16-SR30
24,adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ RAM (AX4U3200316G16-SR41),AX4U3200316G16-SR41
25,adata,ADATA AX4U320038G16A-DB80 Desktop Ram XPG SPECTRIX D80 Series 16GB (8GBx2) DDR4 3200MHz RGB Hybrid Liquid Air Cooling,AX4U320038G16A-DB80 
26,adata,ADATA AX4U320038G16A-DR30 Desktop Ram XPG GAMMIX D30 Series 16GB (8GBx2) DDR4 3200MHz Red,AX4U320038G16A-DR30 
27,adata,Adata XPG Spectrix D60G 16GB (8GB x 2) 3200MHz DDR4 RGB White Memory AX4U320038G16A-DW60,AX4U320038G16A-DW60
28,adata,Adata AX4U320038G16A-SR10 Desktop Ram XPG GAMMIX D10 Series 8GB (8GBx1) DDR4 3200MHz Red,AX4U320038G16A-SR10 
29,adata,Adata AX4U320038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Red,AX4U320038G16A-SR30 
