company,name,model,size,freq
Corcair,Corsair Vengeance LPX Black 128GB (4x32GB) 3200MHz DDR4 Quad Channel Memory Kit CMK128GX4M4E3200C16,CMK128GX4M4E3200C16,28GB ,3200MHz 
Corcair,CORSAIR Desktop Vengeance LPX Series – 16GB (16GBx1) DDR4 2400MHz RAM (CMK16GX4M1A2400C16),CMK16GX4M1A2400C16,16GB ,2400MHz 
Corcair,Corsair CMK16GX4M1D3000C16 Desktop Ram Vengeance Lpx Series - 16GB (16GBx1) DDR4 3000MHz Black,CMK16GX4M1D3000C16 ,16GB ,3000MHz 
Corcair,Corsair CMK16GX4M1E3200C16 Desktop Ram Vengeance Lpx Series 16GB (16GBx1) DDR4 3200MHz,CMK16GX4M1E3200C16 ,16GB ,3200MHz
Corcair,CORSAIR Vengeance LPX 16GB DDR4 3600MHz Memory CMK16GX4M1Z3600C18,CMK16GX4M1Z3600C18,16GB ,3600MHz 
Corcair,CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 DRAM 3600MHz C18 Memory Kit – Black,,16GB ,3600MHz 
Corcair,Corsair VENGEANCE® LPX 16GB (8GBX2) DDR4 DRAM 4000MHz C19 Memory Kit - Black,,16GB ,4000MHz 
Corcair,Corsair Vengeance LPX 32GB (32GBx1) DDR4 3000MHz (CMK32GX4M1D3000C16),CMK32GX4M1D3000C16,32GB ,3000MHz 
Corcair,CORSAIR VENGEANCE LPX 32GB(16GBX2) DDR4 DRAM 3600MHZ C18 RAM (BLACK),,32GB,3600MHZ 
Corcair,CORSAIR Desktop Vengeance LPX Series – 4GB (4GBx1) DDR4 2400MHz Red RAM (CMK4GX4M1A2400C16R),CMK4GX4M1A2400C16R,4GB ,2400MHz 
Corcair,CORSAIR Desktop Vengeance LPX Series – 4GB (4GBx1) DDR4 2400MHz Black RAM (CMK4GX4M1D2400C16),CMK4GX4M1D2400C16,4GB ,2400MHz 
Corcair,CORSAIR CMK64GX4M2D3600C18 Desktop Ram VENGEANCE LPX Series 64GB (32GBx2) DDR4 3600MHz Black,CMK64GX4M2D3600C18 ,64GB ,3600MHz 
Corcair,CORSAIR Vengeance LPX 64GB (2 x 32GB) DDR4 3200MHz Memory CMK64GX4M2E3200C16,CMK64GX4M2E3200C16,64GB ,3200MHz 
Corcair,CORSAIR CMK64GX4M4B3600C18 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3600MHz Black,CMK64GX4M4B3600C18 ,64GB ,3600MHz 
Corcair,CORSAIR CMK64GX4M4C3200C16 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3200MHz Black,CMK64GX4M4C3200C16 ,64GB ,3200MHz 
Corcair,CORSAIR CMK64GX4M4D3000C16 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3000MHz Black,CMK64GX4M4D3000C16 ,64GB ,3000MHz 
Corcair,CORSAIR CMK64GX4M4E3200C16 Desktop Ram VENGEANCE LPX Series 64GB (16GBx4) DDR4 3200MHz Black,CMK64GX4M4E3200C16 ,64GB ,3200MHz 
Corcair,CORSAIR VENGEANCE LPX 8GB (1X8GB) DDR4 DRAM 2400MHZ C16 BLACK RAM (CMK8GX4M1A2400C16),CMK8GX4M1A2400C16,8GB ,2400MHZ 
Corcair,CORSAIR Desktop Vengeance LPX Series – 8GB (8GBx1) DDR4 2400MHz Red RAM (CMK8GX4M1A2400C16R),CMK8GX4M1A2400C16R,8GB ,2400MHz 
Corcair,Corsair CMK8GX4M1D3000C16 Desktop Ram Vengeance Lpx Series 8GB (8GBx1) DDR4 3000MHz Black,CMK8GX4M1D3000C16 ,8GB ,3000MHz 
Corcair,Corsair CMK8GX4M1E3200C16 Desktop Ram Vengeance Lpx Series 8GB (8GBx1) DDR4 3200MHz,CMK8GX4M1E3200C16 ,8GB ,3200MHz
Corcair,Corsair CMK8GX4M1Z3600C18 Desktop RAM Vengeance LPX Series 8GB (8GBx1) DDR4 3600MHz Black,CMK8GX4M1Z3600C18 ,8GB ,3600MHz 
Corcair,Corsair VENGEANCE® RGB 16GB (8GBX2) DDR4 DRAM 3000MHz C16 Memory Kit - White,,16GB ,3000MHz 
Corcair,Corsair CMT16GX4M2C3000C15 Desktop Ram DOMINATOR PLATINUM RGB Series 16GB (8GBx2) DDR4 3000MHz,CMT16GX4M2C3000C15 ,16GB ,3000MHz
